id,element,player_id,code,team,team_code,team_name,team_short,element_type,position,first_name,second_name,web_name,status,news,news_added,now_cost,price_m,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,event_points,minutes,can_transact,can_select,dreamteam_count,ep_next,ep_this,form,in_dreamteam,photo,points_per_game,removed,special,squad_number,value_form,value_season,region,team_join_date,birth_date,has_temporary_code,opta_code,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
136,136,136,502500,5,94,Brentford,BRE,4,FWD,Igor Thiago,Nascimento Rodrigues,Thiago,a,,,60,6.0,0,0,0,0,1.1,,,25337,11408,25337,11408,6,6,90,True,True,0,2.0,2.0,6.0,False,502500.jpg,6.0,False,False,,1.0,1.0,30.0,2024-07-01,2001-06-26,False,p502500,1,0,0,3,0,0,0,0,0,0,0,17,36.4,10.7,22.0,6.9,1,0,1,2,1,0.91,0.01,0.92,1.86,17,5,105,7,39,14,29,6,,,,,2.0,,0.91,0.0,0.01,0.92,1.86,3.0,105,29,64,7,64,7,181,30,1.0,0.0,2.0
137,137,137,533710,5,94,Brentford,BRE,4,FWD,Iwan,Morgan,Morgan,a,,,45,4.5,0,0,0,0,0.5,,,3865,5729,3865,5729,0,0,0,True,True,0,1.0,1.0,0.0,False,533710.jpg,0.0,False,False,,0.0,0.0,,,,False,p533710,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,479,31,485,36,442,38,496,38,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,508,62,496,40,496,40,250,44,0.0,0.0,0.0
138,138,138,49262,6,36,Brighton,BHA,1,GKP,Jason,Steele,Steele,a,,,45,4.5,0,0,0,0,0.5,,,1238,5531,1238,5531,0,0,0,True,True,0,2.3,2.3,0.0,False,49262.jpg,0.0,False,False,,0.0,0.0,241.0,2018-07-01,1990-08-18,False,p49262,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,388,66,385,48,326,47,406,66,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,365,17,399,65,399,65,251,35,0.0,0.0,0.0
139,139,139,489639,6,36,Brighton,BHA,1,GKP,Bart,Verbruggen,Verbruggen,a,,,45,4.5,0,0,0,0,7.4,,,30346,46697,30346,46697,2,2,90,True,True,0,2.3,2.3,2.0,False,489639.jpg,2.0,False,False,,0.4,0.4,152.0,2023-07-03,2002-08-18,False,p489639,0,0,0,1,0,0,0,0,0,1,0,9,14.4,0.0,0.0,1.4,1,6,0,0,1,0.00,0.00,0.00,0.76,112,15,453,63,409,62,212,15,,,,,,,0.0,1.0,0.0,0.0,0.76,1.0,469,32,138,13,138,13,56,8,1.0,0.0,0.0
140,140,140,209288,6,36,Brighton,BHA,1,GKP,Tom,McGill,McGill,a,,,40,4.0,0,0,0,0,0.4,,,1951,2095,1951,2095,0,0,0,True,True,0,1.0,1.0,0.0,False,209288.jpg,0.0,False,False,,0.0,0.0,39.0,2021-02-02,2000-03-25,False,p209288,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,299,37,295,19,231,18,317,37,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,599,53,309,36,309,36,273,42,0.0,0.0,0.0
141,141,141,472739,6,36,Brighton,BHA,1,GKP,Carl,Rushworth,Rushworth,u,Has joined Coventry City on loan for the rest of the season.,2025-07-25T14:54:18.206318Z,40,4.0,0,0,0,0,0.0,0.0,0.0,0,67,0,67,0,0,0,True,False,0,0.0,0.0,0.0,False,472739.jpg,0.0,False,False,,0.0,0.0,241.0,2023-07-01,2001-07-02,False,p472739,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,329,50,326,32,266,31,347,50,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,635,66,340,49,340,49,689,79,0.0,0.0,0.0
142,142,142,240514,6,36,Brighton,BHA,1,GKP,Kjell,Scherpen,Scherpen,u,Has joined Union SG permanently,2025-07-25T14:53:26.961790Z,40,4.0,0,0,0,0,0.0,0.0,0.0,0,59,0,59,0,0,0,True,False,0,0.0,0.0,0.0,False,240514.jpg,0.0,False,False,,0.0,0.0,152.0,2021-07-16,2000-01-23,False,p240514,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,308,41,304,23,241,22,326,41,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,609,57,318,40,318,40,690,80,0.0,0.0,0.0
143,143,143,204120,6,36,Brighton,BHA,2,DEF,Olivier,Boscagli,Boscagli,a,,,45,4.5,0,0,0,0,0.1,,,665,1947,665,1947,0,0,0,True,True,0,1.9,1.9,0.0,False,204120.jpg,0.0,False,False,,0.0,0.0,73.0,2025-07-02,1997-11-18,False,p204120,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,409,180,410,180,358,156,427,182,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,405,92,421,170,421,170,473,181,0.0,0.0,0.0
144,144,144,550090,6,36,Brighton,BHA,2,DEF,Diego,Coppola,Coppola,a,,,45,4.5,0,0,0,0,0.1,,,215,1096,215,1096,0,0,0,True,True,0,1.9,1.9,0.0,False,550090.jpg,0.0,False,False,,0.0,0.0,106.0,2025-06-17,2003-12-28,False,p550090,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,489,204,495,204,452,188,506,205,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,519,141,506,199,506,199,529,198,0.0,0.0,0.0
145,145,145,465730,6,36,Brighton,BHA,2,DEF,Maxim,De Cuyper,De Cuyper,a,,,45,4.5,0,0,0,0,6.0,,,27669,38192,27669,38192,2,2,90,True,True,0,1.9,1.9,2.0,False,465730.jpg,2.0,False,False,,0.4,0.4,21.0,2025-07-05,2000-12-22,False,p465730,0,0,0,1,0,0,0,0,0,0,0,8,15.0,26.7,4.0,4.6,4,3,2,6,1,0.00,0.09,0.09,0.76,105,46,27,6,130,33,68,15,,,,,,,0.0,0.0,0.09,0.09,0.76,1.0,459,124,136,51,136,51,67,25,1.0,0.0,6.0
146,146,146,83299,6,36,Brighton,BHA,2,DEF,Lewis,Dunk,Dunk,a,,,45,4.5,0,0,0,0,1.3,,,12007,8635,12007,8635,2,2,90,True,True,0,1.9,1.9,2.0,False,83299.jpg,2.0,False,False,,0.4,0.4,241.0,2009-07-01,1991-11-21,False,p83299,0,0,0,1,0,0,0,0,0,0,0,16,16.6,1.8,7.0,2.5,7,5,1,8,1,0.09,0.00,0.09,0.76,94,40,169,51,96,18,142,46,,,,,,,0.09,0.0,0.0,0.09,0.76,1.0,371,68,128,44,128,44,162,60,1.0,0.0,8.0
147,147,147,204214,6,36,Brighton,BHA,2,DEF,Pervis,Estupiñán Tenorio,Estupiñan,u,Has joined AC Milan permanently,2025-07-24T10:14:09.955203Z,45,4.5,0,0,0,0,0.0,0.0,0.0,0,963,0,963,0,0,0,True,False,0,0.0,0.0,0.0,False,204214.jpg,0.0,False,False,,0.0,0.0,62.0,2022-07-16,1998-01-21,False,p204214,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,410,181,411,181,359,157,428,183,,,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,406,93,422,171,422,171,642,219,0.0,0.0,0.0
148,148,148,231416,6,36,Brighton,BHA,2,DEF,Ferdi,Kadıoğlu,F.Kadıoğlu,a,,,45,4.5,0,0,0,0,0.2,,,903,3202,903,3202,0,0,21,True,True,0,1.9,1.9,0.0,False,231416.jpg,0.0,False,False,,0.0,0.0,219.0,2024-08-27,1999-10-07,False,p231416,0,0,0,1,0,0,0,1,0,0,0,-5,0.0,1.3,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,0.24,419,187,182,57,371,165,283,99,,,,,,,0.0,0.0,0.0,0.0,1.03,4.29,424,107,432,178,432,178,387,144,0.0,0.0,4.29
149,149,149,223434,6,36,Brighton,BHA,2,DEF,Igor Julio,dos Santos de Paulo,Igor,a,,2025-08-10T18:00:05.419085Z,45,4.5,0,0,0,0,0.1,100.0,100.0,310,531,310,531,0,0,0,True,True,0,1.9,1.9,0.0,False,223434.jpg,0.0,False,False,,0.0,0.0,30.0,2023-07-26,1998-02-07,False,p223434,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,415,184,416,184,366,162,433,186,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,418,103,428,175,428,175,569,204,0.0,0.0,0.0
150,150,150,232792,6,36,Brighton,BHA,2,DEF,Tariq,Lamptey,Lamptey,a,,,45,4.5,0,0,0,0,0.4,,,1440,5591,1440,5591,0,0,0,True,True,0,1.9,1.9,0.0,False,232792.jpg,0.0,False,False,,0.0,0.0,81.0,2020-01-31,2000-09-30,False,p232792,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,422,189,422,188,374,167,439,190,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,427,109,435,180,435,180,278,103,0.0,0.0,0.0
151,151,151,469142,6,36,Brighton,BHA,2,DEF,Jan Paul,van Hecke,Van Hecke,a,,,45,4.5,0,0,0,0,1.2,,,5779,8680,5779,8680,2,2,90,True,True,0,1.9,1.9,2.0,False,469142.jpg,2.0,False,False,,0.4,0.4,152.0,2020-09-10,2000-06-08,False,p469142,0,0,0,1,0,0,0,0,0,0,0,15,28.0,1.3,0.0,2.9,7,4,1,8,1,0.00,0.13,0.13,0.76,43,14,183,58,404,178,122,35,,,,,,,0.0,0.0,0.13,0.13,0.76,1.0,462,125,137,52,137,52,172,67,1.0,0.0,8.0
152,152,152,111478,6,36,Brighton,BHA,2,DEF,Joël,Veltman,Veltman,a,,,45,4.5,0,0,0,0,0.2,,,454,3793,454,3793,0,0,0,True,True,0,1.9,1.9,0.0,False,111478.jpg,0.0,False,False,,0.0,0.0,152.0,2020-07-29,1992-01-15,False,p111478,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,398,173,396,173,341,146,416,175,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,384,78,409,163,409,163,352,127,0.0,0.0,0.0
153,153,153,110735,6,36,Brighton,BHA,2,DEF,Adam,Webster,Webster,i,Knee injury - Unknown return date,2025-08-08T14:30:04.202011Z,45,4.5,0,0,0,0,0.0,0.0,0.0,74,401,74,401,0,0,0,True,True,0,0.0,0.0,0.0,False,110735.jpg,0.0,False,False,,0.0,0.0,241.0,2019-08-03,1995-01-04,False,p110735,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,397,172,395,172,340,145,415,174,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,383,77,408,162,408,162,662,223,0.0,0.0,0.0
154,154,154,439135,6,36,Brighton,BHA,2,DEF,Eiran,Cashin,Cashin,u,Has joined Birmingham on loan for the rest of the season.,2025-07-28T11:50:54.390347Z,40,4.0,0,0,0,0,0.0,0.0,0.0,0,260,0,260,0,0,0,True,False,0,0.0,0.0,0.0,False,439135.jpg,0.0,False,False,,0.0,0.0,104.0,2025-01-31,2001-11-09,False,p439135,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,315,119,311,118,249,84,333,121,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,618,174,325,108,325,108,665,224,0.0,0.0,0.0
155,155,155,589100,6,36,Brighton,BHA,2,DEF,Jacob,Slater,Slater,a,,,40,4.0,0,0,0,0,0.2,,,819,1793,819,1793,0,0,0,True,True,0,1.0,1.0,0.0,False,589100.jpg,0.0,False,False,,0.0,0.0,,,,False,p589100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,376,157,373,157,314,126,394,159,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,688,221,387,147,387,147,376,137,0.0,0.0,0.0
156,156,156,547720,6,36,Brighton,BHA,2,DEF,Charlie,Tasker,Tasker,a,,,40,4.0,0,0,0,0,0.2,,,573,1477,573,1477,0,0,0,True,True,0,1.0,1.0,0.0,False,547720.jpg,0.0,False,False,,0.0,0.0,,,,False,p547720,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,358,144,355,144,296,113,376,146,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,669,207,369,134,369,134,420,163,0.0,0.0,0.0
157,157,157,451340,6,36,Brighton,BHA,3,MID,Mitoma,Kaoru,Mitoma,a,,,65,6.5,0,0,0,0,6.3,,,18836,100180,18836,100180,2,2,82,True,True,0,2.2,2.2,2.0,False,451340.jpg,2.0,False,False,,0.3,0.3,108.0,2021-08-09,1997-05-20,False,p451340,0,0,1,0,0,0,0,1,0,0,0,-2,0.0,2.4,8.0,0.6,0,0,0,0,1,0.07,0.04,0.11,0.52,681,300,157,97,93,54,257,125,,,,,,,0.08,0.0,0.04,0.12,0.57,0.0,64,44,181,95,181,95,63,21,1.1,1.1,0.0
158,158,158,463067,6,36,Brighton,BHA,3,MID,Georginio,Rutter,Georginio,a,,,60,6.0,0,0,0,0,1.4,,,17623,20541,17623,20541,6,6,68,True,True,0,2.1,2.1,6.0,False,463067.jpg,6.0,False,False,,1.0,1.0,73.0,2024-08-19,2002-04-20,False,p463067,0,1,1,0,0,0,0,0,0,0,0,15,2.2,1.2,15.0,1.8,0,1,1,2,1,0.07,0.00,0.07,0.52,245,115,197,113,63,37,185,89,,,,,,,0.09,0.0,0.0,0.09,0.69,0.0,100,67,63,15,63,15,158,52,1.32,1.32,2.65
159,159,159,109345,6,36,Brighton,BHA,3,MID,Solly,March,March,i,Knee injury - Unknown return date,2025-08-10T18:00:05.450301Z,59,5.9,-1,1,-1,1,0.0,0.0,0.0,45,945,45,945,0,0,0,True,True,0,0.0,0.0,0.0,False,109345.jpg,0.0,False,False,,0.0,0.0,241.0,2012-07-01,1994-07-20,False,p109345,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,659,287,667,290,662,286,668,290,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,110,72,665,290,665,290,652,283,0.0,0.0,0.0
160,160,160,592031,6,36,Brighton,BHA,3,MID,Yankuba,Minteh,Minteh,a,,,60,6.0,0,0,0,0,1.0,,,4316,21093,4316,21093,3,3,68,True,True,0,2.1,2.1,3.0,False,592031.jpg,3.0,False,False,,0.5,0.5,78.0,2024-07-01,2004-07-22,False,p592031,0,0,1,0,0,0,0,0,0,0,0,7,0.4,2.9,12.0,1.5,1,3,0,4,1,0.09,0.02,0.11,0.52,264,127,147,91,68,40,210,98,,,,,,,0.12,0.0,0.03,0.15,0.69,0.0,109,71,113,51,113,51,182,59,1.32,1.32,5.29
161,161,161,474120,6,36,Brighton,BHA,3,MID,Julio,Enciso Espínola,Enciso,i,Knee injury - Expected back 18 Oct,2025-08-10T18:00:05.470138Z,55,5.5,0,0,0,0,0.0,0.0,0.0,45,1349,45,1349,0,0,0,True,True,0,0.0,0.0,0.0,False,474120.jpg,0.0,False,False,,0.0,0.0,168.0,2022-06-17,2004-01-23,False,p474120,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,648,281,656,285,647,278,658,285,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,180,113,655,285,655,285,637,274,0.0,0.0,0.0
162,162,162,513433,6,36,Brighton,BHA,3,MID,Brajan,Gruda,Gruda,a,,,55,5.5,0,0,0,0,0.0,,,219,836,219,836,1,1,7,True,True,0,2.0,2.0,1.0,False,513433.jpg,1.0,False,False,,0.2,0.2,80.0,2024-08-14,2004-05-31,False,p513433,0,0,0,1,0,0,0,0,0,0,0,-2,0.2,0.3,4.0,0.5,0,1,1,2,0,0.31,0.00,0.31,0.24,270,130,251,136,138,75,262,127,2.0,,6.0,,,,3.99,0.0,0.0,3.99,3.09,12.86,196,124,251,128,251,128,590,235,0.0,0.0,25.71
163,163,163,532529,6,36,Brighton,BHA,3,MID,Jack,Hinshelwood,Hinshelwood,a,,,54,5.4,-1,1,-1,1,0.1,,,157,2431,157,2431,0,0,0,True,True,0,2.0,2.0,0.0,False,532529.jpg,0.0,False,False,,0.0,0.0,241.0,2022-12-30,2005-04-11,False,p532529,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,623,265,628,270,608,257,633,269,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,217,138,631,270,631,270,502,174,0.0,0.0,0.0
164,164,164,219249,6,36,Brighton,BHA,3,MID,Matt,O'Riley,O'Riley,a,,,55,5.5,0,0,0,0,1.7,,,100154,19583,100154,19583,10,10,87,True,True,1,2.0,2.0,10.0,True,219249.jpg,10.0,False,False,,1.8,1.8,58.0,2024-08-26,2000-11-21,False,p219249,1,0,1,0,0,0,0,0,0,0,2,24,45.8,44.3,25.0,11.5,0,0,3,3,1,0.79,0.14,0.93,0.52,13,5,10,9,30,15,8,4,1.0,,2.0,,2.0,,0.82,0.0,0.14,0.96,0.54,0.0,150,96,10,2,10,2,145,46,1.03,1.03,3.1
165,165,165,516211,6,36,Brighton,BHA,3,MID,Abdallah,Sima,Sima,a,,,55,5.5,0,0,0,0,0.0,,,118,457,118,457,0,0,0,True,True,0,2.0,2.0,0.0,False,516211.jpg,0.0,False,False,,0.0,0.0,189.0,2021-08-30,2001-06-17,False,p516211,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,655,285,664,289,656,283,666,289,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,197,125,663,289,663,289,635,272,0.0,0.0,0.0
166,166,166,509416,6,36,Brighton,BHA,3,MID,Yasin,Ayari,Ayari,a,,,50,5.0,0,0,0,0,0.2,,,1350,2453,1350,2453,3,3,90,True,True,0,1.5,1.5,3.0,False,509416.jpg,3.0,False,False,,0.6,0.6,206.0,2023-01-30,2003-10-06,False,p509416,0,0,0,1,0,0,0,0,0,0,1,20,7.2,3.2,2.0,1.2,3,6,1,10,1,0.00,0.12,0.12,0.76,179,67,141,87,173,96,226,107,3.0,,5.0,,,,0.0,0.0,0.12,0.12,0.76,1.0,336,210,100,39,100,39,364,123,1.0,0.0,10.0
167,167,167,535301,6,36,Brighton,BHA,3,MID,Carlos,Baleba,Baleba,a,,,50,5.0,0,0,0,0,4.6,,,27671,49537,27671,49537,3,3,68,True,True,0,1.5,1.5,3.0,False,535301.jpg,3.0,False,False,,0.6,0.6,38.0,2023-08-29,2004-01-03,False,p535301,0,0,1,0,0,0,0,0,0,0,0,10,4.0,11.9,1.0,1.7,4,6,1,11,1,0.02,0.01,0.03,0.52,215,93,89,60,198,111,191,91,,,,,,,0.03,0.0,0.01,0.04,0.69,0.0,341,214,101,40,101,40,76,25,1.32,1.32,14.56
168,168,168,536916,6,36,Brighton,BHA,3,MID,Facundo,Buonanotte,Buonanotte,a,,,50,5.0,0,0,0,0,0.2,,,211,3643,211,3643,0,0,0,True,True,0,1.5,1.5,0.0,False,536916.jpg,0.0,False,False,,0.0,0.0,10.0,2023-01-01,2004-12-23,False,p536916,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,599,248,603,252,583,239,609,252,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,342,215,608,254,608,254,398,132,0.0,0.0,0.0
169,169,169,514254,6,36,Brighton,BHA,3,MID,Diego,Gómez Amarilla,Gomez,a,,,50,5.0,0,0,0,0,0.1,,,227,889,227,889,0,0,21,True,True,0,1.5,1.5,0.0,False,514254.jpg,0.0,False,False,,0.0,0.0,168.0,2025-01-01,2003-03-27,False,p514254,0,0,0,1,0,0,0,1,0,0,0,7,7.6,11.3,7.0,2.6,1,2,2,5,0,0.03,0.03,0.06,0.24,175,64,95,63,100,58,139,69,,,3.0,,,,0.13,0.0,0.13,0.26,1.03,4.29,338,211,605,251,605,251,543,205,0.0,0.0,21.43
170,170,170,15157,6,36,Brighton,BHA,3,MID,James,Milner,Milner,a,,,50,5.0,0,0,0,0,0.1,,,648,1531,648,1531,1,1,2,True,True,0,1.5,1.5,1.0,False,15157.jpg,1.0,False,False,,0.2,0.2,241.0,2023-07-01,1986-01-04,False,p15157,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.24,536,208,260,138,501,191,553,217,,,,,,,0.0,0.0,0.0,0.0,10.8,45.0,219,140,220,105,220,105,482,163,0.0,0.0,0.0
171,171,171,441192,6,36,Brighton,BHA,3,MID,Jeremy,Sarmiento Morante,Sarmiento,a,,,50,5.0,0,0,0,0,0.0,,,55,564,55,564,0,0,0,True,True,0,1.5,1.5,0.0,False,441192.jpg,0.0,False,False,,0.0,0.0,62.0,2021-09-21,2002-06-16,False,p441192,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,578,235,585,241,558,222,592,241,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,304,188,589,242,589,242,608,251,0.0,0.0,0.0
172,172,172,549074,6,36,Brighton,BHA,3,MID,Tom,Watson,Watson,a,,2025-08-10T18:00:05.491553Z,50,5.0,0,0,0,0,0.0,100.0,100.0,123,347,123,347,0,0,0,True,True,0,1.5,1.5,0.0,False,549074.jpg,0.0,False,False,,0.0,0.0,241.0,2025-06-01,2006-04-08,False,p549074,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,600,249,604,253,584,240,610,253,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,344,217,609,255,609,255,620,262,0.0,0.0,0.0
173,173,173,467779,6,36,Brighton,BHA,3,MID,Mats,Wieffer,Wieffer,a,,,50,5.0,0,0,0,0,0.1,,,1272,919,1272,919,4,4,90,True,True,0,1.5,1.5,4.0,False,467779.jpg,4.0,False,False,,0.8,0.8,152.0,2024-07-06,1999-11-16,False,p467779,0,0,0,1,0,0,0,0,0,0,0,17,24.8,2.8,21.0,4.9,8,5,5,18,1,0.02,0.02,0.04,0.76,53,19,149,92,41,21,59,35,,,,,,,0.02,0.0,0.02,0.04,0.76,1.0,314,195,89,32,89,32,536,198,1.0,0.0,18.0
174,174,174,611695,6,36,Brighton,BHA,3,MID,Malick,Yalcouyé,Yalcouye,u,Has joined Swansea City on loan for the rest of the season.,2025-08-15T12:03:00.771795Z,50,5.0,0,0,0,0,0.0,0.0,0.0,0,612,0,612,0,0,0,True,False,0,0.0,0.0,0.0,False,611695.jpg,0.0,False,False,,0.0,0.0,54.0,2024-07-12,2005-11-18,False,p611695,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,609,256,613,260,594,248,619,260,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,355,226,617,261,617,261,661,288,0.0,0.0,0.0
175,175,175,567121,6,36,Brighton,BHA,3,MID,Joe,Knight,Knight,a,,,45,4.5,0,0,0,0,0.1,,,674,1110,674,1110,0,0,0,True,True,0,1.0,1.0,0.0,False,567121.jpg,0.0,False,False,,0.0,0.0,,,,False,p567121,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,501,185,507,196,465,168,518,194,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,532,288,517,198,517,198,510,181,0.0,0.0,0.0
176,176,176,550141,6,36,Brighton,BHA,3,MID,Adrian,Mazilu,Mazilu,a,,,45,4.5,0,0,0,0,0.0,,,254,531,254,531,0,0,0,True,True,0,1.0,1.0,0.0,False,550141.jpg,0.0,False,False,,0.0,0.0,,,,False,p550141,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,490,178,496,189,453,161,507,187,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,520,281,507,191,507,191,595,239,0.0,0.0,0.0
177,177,177,513834,6,36,Brighton,BHA,3,MID,Andrew,Moran,Moran,a,,,45,4.5,0,0,0,0,0.1,,,475,767,475,767,0,0,0,True,True,0,1.0,1.0,0.0,False,513834.jpg,0.0,False,False,,0.0,0.0,104.0,2021-08-23,2003-10-15,False,p513834,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,470,165,476,176,433,148,487,174,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,497,266,486,178,486,178,556,217,0.0,0.0,0.0
178,178,178,50175,6,36,Brighton,BHA,4,FWD,Danny,Welbeck,Welbeck,a,,,65,6.5,0,0,0,0,3.7,,,13623,90153,13623,90153,1,1,21,True,True,0,2.2,2.2,1.0,False,50175.jpg,1.0,False,False,,0.2,0.2,241.0,2020-10-18,1990-11-26,False,p50175,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.6,2.0,0.5,0,0,1,1,0,0.00,0.00,0.00,0.24,246,18,230,22,187,29,266,29,,,1.0,,1.0,,0.0,0.0,0.0,0.0,1.03,4.29,45,16,267,25,267,25,87,15,0.0,0.0,4.29
179,179,179,487117,6,36,Brighton,BHA,4,FWD,Evan,Ferguson,Ferguson,u,Has joined AS Roma on loan for the rest of the season,2025-07-24T10:13:22.396984Z,55,5.5,0,0,0,0,0.0,0.0,0.0,0,764,0,764,0,0,0,True,False,0,0.0,0.0,0.0,False,487117.jpg,0.0,False,False,,0.0,0.0,104.0,2021-08-23,2004-10-19,False,p487117,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,649,59,657,65,648,66,659,66,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,185,41,656,66,656,66,650,73,0.0,0.0,0.0
