element,id,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,now_cost,price_m,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,birth_date,can_select,can_transact,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event_fall,cost_change_start_fall,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,expected_goals_per_90,form,form_rank,form_rank_type,goals_conceded_per_90,has_temporary_code,ict_index_rank,ict_index_rank_type,in_dreamteam,influence_rank,influence_rank_type,news,news_added,now_cost_rank,now_cost_rank_type,opta_code,penalties_order,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,region,removed,saves_per_90,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,tackles,team_code,team_join_date,threat_rank,threat_rank_type,transfers_in,transfers_out,value_form,value_season
79,79,Mepham,Chris Mepham,Chris,Mepham,DEF,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,590,1719,0.2,a,,,1997-11-05,True,True,0.0,0,223911,,,0,0,300,111,0,0.0,,,0,2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,314,101,0.0,False,322,114,False,304,112,,,605,165,p223911,,,223911.jpg,0.0,314,101,0,244.0,False,0.0,369,131,False,,0,0.0,0,91,2019-01-22,237,76,590,1719,0.0,0.0
80,80,Soler,Julio Soler Barreto,Julio,Soler Barreto,DEF,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,1224,2446,0.3,a,,,2005-02-16,True,True,0.0,0,575901,,,0,0,366,152,0,0.0,,,0,2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,380,142,0.0,False,387,154,False,369,152,,,680,215,p575901,,,575901.jpg,0.0,380,142,0,10.0,False,0.0,321,116,False,,0,0.0,0,91,2025-01-07,307,121,1224,2446,0.0,0.0
81,81,Kluivert,Justin Kluivert,Justin,Kluivert,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,7.0,0,0,289,34441,0.6,d,50.0,0.0,1999-05-05,True,True,0.0,0,222683,3.0,,0,0,693,308,0,0.0,,,0,3,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,692,308,0.0,False,693,308,False,689,307,Lack of match fitness - 50% chance of playing,2025-08-10T22:00:04.480285Z,34,21,p222683,1.0,,222683.jpg,0.0,692,308,0,152.0,False,0.0,228,74,False,,0,0.0,0,91,2023-07-01,693,308,289,34441,0.0,0.0
82,82,Semenyo,Antoine Semenyo,Antoine,Semenyo,MID,4,Bournemouth,BOU,90,15,2,0,0,4,0,0,0,0,0,0,3,42,66.4,1.3,32.0,10.0,0.91,0.02,0.93,2.21,71,7.1,1,1,789388,43394,15.2,a,,,2000-01-07,True,True,0.0,1,437730,,,-1,-1,192,112,5,5.0,,,1,3,2.4,1.4,15,0.02,0.93,2.21,0.91,15.0,2,1,4.0,False,12,7,True,3,1,,,30,17,p437730,3.0,,437730.jpg,15.0,2,1,3,81.0,False,0.0,30,8,False,,1,1.0,1,91,2023-01-27,20,9,789388,43394,2.1,2.1
84,84,Tavernier,Marcus Tavernier,Marcus,Tavernier,MID,4,Bournemouth,BOU,90,4,0,0,0,4,0,0,0,0,0,0,0,20,24.6,14.1,33.0,7.2,0.32,0.06,0.38,2.21,55,5.5,0,0,21052,7603,0.6,a,,,1999-03-22,True,True,0.0,7,201658,1.0,,0,0,77,52,20,20.0,1.0,,0,3,2.0,1.0,4,0.06,0.38,2.21,0.32,4.0,91,33,4.0,False,26,17,False,56,22,,,141,91,p201658,,,201658.jpg,4.0,91,33,10,241.0,False,0.0,233,76,False,,1,1.0,3,91,2022-08-01,16,6,21052,7603,0.7,0.7
85,85,Adams,Tyler Adams,Tyler,Adams,MID,4,Bournemouth,BOU,90,4,0,0,0,3,0,0,0,0,0,0,0,11,21.6,1.7,4.0,2.7,0.0,0.1,0.1,2.1,50,5.0,0,0,6699,3964,0.3,a,,,1999-02-14,True,True,0.0,8,200785,,,0,0,172,104,19,19.0,4.0,,0,3,1.5,0.5,4,0.1,0.1,2.1,0.0,4.0,86,30,3.0,False,130,66,False,66,26,,,257,162,p200785,,,200785.jpg,4.0,86,30,6,229.0,False,0.0,288,90,False,,1,1.0,5,91,2023-08-20,133,72,6699,3964,0.8,0.8
86,86,Brooks,David Brooks,David,Brooks,MID,4,Bournemouth,BOU,83,4,0,1,0,2,0,0,0,1,0,0,0,23,27.2,40.3,18.0,8.6,0.19,0.19,0.38,1.9,50,5.0,0,0,10699,3238,0.2,a,,,1997-07-08,True,True,0.0,0,111317,5.0,,0,0,13,11,7,7.59,,,0,3,1.5,0.5,4,0.21,0.42,2.06,0.21,4.0,82,27,2.17,False,18,13,False,46,17,,,233,146,p111317,,,111317.jpg,4.0,82,27,5,244.0,False,0.0,340,115,False,,1,1.08,2,91,2018-07-01,52,31,10699,3238,0.8,0.8
87,87,Christie,Ryan Christie,Ryan,Christie,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,73,2303,0.1,d,75.0,0.0,1995-02-22,True,True,0.0,0,158499,4.0,,0,0,552,223,0,0.0,,,0,3,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,559,225,0.0,False,562,223,False,546,215,Lack of match fitness - 75% chance of playing,2025-08-10T22:00:04.490616Z,238,151,p158499,,,158499.jpg,0.0,559,225,0,243.0,False,0.0,521,186,False,,0,0.0,0,91,2021-08-31,517,200,73,2303,0.0,0.0
88,88,Cook,Lewis Cook,Lewis,Cook,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,42,301,0.0,s,0.0,0.0,1997-02-03,True,True,0.0,0,155408,2.0,,0,0,551,222,0,0.0,,,0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,558,224,0.0,False,561,222,False,545,214,Suspended until 30 Aug,2025-07-21T10:00:04.780951Z,237,150,p155408,,,155408.jpg,0.0,558,224,0,241.0,False,0.0,658,286,False,,0,0.0,0,91,2016-07-08,516,199,42,301,0.0,0.0
89,89,Philip,Philip Billing,Philip,Billing,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,387,1333,0.1,a,,,1996-06-11,True,True,0.0,0,168991,,,0,0,553,224,0,0.0,,,0,3,1.5,0.5,0,0.0,0.0,0.0,0.0,0.0,560,226,0.0,False,563,224,False,547,216,,,242,154,p168991,,,168991.jpg,0.0,560,226,0,58.0,False,0.0,535,197,False,,0,0.0,0,91,2019-07-29,519,202,387,1333,0.0,0.0
90,90,Scott,Alex Scott,Alex,Scott,MID,4,Bournemouth,BOU,73,2,0,0,0,2,0,0,0,0,0,0,0,7,2.0,2.1,2.0,0.6,0.0,0.0,0.0,1.81,50,5.0,0,0,1181,1164,0.1,a,,,2003-08-21,True,True,0.0,1,503139,,,0,0,163,100,3,3.7,5.0,,0,3,1.5,0.5,2,0.0,0.0,2.23,0.0,2.0,156,79,2.47,False,251,119,False,248,116,,,333,207,p503139,,,503139.jpg,2.0,156,79,2,241.0,False,0.0,491,167,False,,1,1.23,0,91,2023-08-10,172,95,1181,1164,0.4,0.4
91,91,Sinisterra,Luis Sinisterra Lucumí,Luis,Sinisterra Lucumí,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,99,1177,0.0,a,100.0,25.0,1999-06-17,True,True,0.0,0,224995,,,0,0,573,233,0,0.0,,,0,3,1.5,0.1,0,0.0,0.0,0.0,0.0,0.0,577,234,0.0,False,581,233,False,565,225,,2025-08-21T12:00:05.516797Z,280,174,p224995,,,224995.jpg,0.0,577,234,0,48.0,False,0.0,618,260,False,,0,0.0,0,91,2024-06-14,544,214,99,1177,0.0,0.0
92,92,Faivre,Romain Faivre,Romain,Faivre,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,1589,2671,0.2,a,,,1998-07-14,True,True,0.0,0,441240,,,0,0,434,151,0,0.0,,,0,3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,447,154,0.0,False,450,150,False,433,141,,,444,241,p441240,,,441240.jpg,0.0,447,154,0,73.0,False,0.0,378,127,False,,0,0.0,0,91,2023-07-13,388,124,1589,2671,0.0,0.0
93,93,H.Traorè,Hamed Traorè,Hamed,Traorè,MID,4,Bournemouth,BOU,16,4,0,1,0,2,0,0,0,0,0,0,0,12,21.2,10.0,0.0,3.1,0.0,0.0,0.0,0.4,45,4.5,0,0,71943,17620,1.2,a,,,2000-02-16,True,True,0.0,1,424044,,,0,0,112,73,4,22.5,,,0,3,1.0,0.0,4,0.0,0.0,2.25,0.0,4.0,80,26,11.25,False,111,60,False,70,27,,,437,237,p424044,,,424044.jpg,4.0,80,26,2,54.0,False,0.0,171,55,False,,0,0.0,1,91,2023-07-01,382,120,71943,17620,0.9,0.9
94,94,Sadi,Dominic Sadi,Dominic,Sadi,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,449,778,0.1,a,,,,True,True,0.0,0,550596,,,0,0,497,190,0,0.0,,,0,3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,508,192,0.0,False,508,188,False,491,179,,,521,282,p550596,,,550596.jpg,0.0,508,192,0,,False,0.0,550,211,False,,0,0.0,0,91,,454,162,449,778,0.0,0.0
95,95,Silcott-Duberry,Zain Silcott-Duberry,Zain,Silcott-Duberry,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,331,1057,0.1,a,,,2005-07-09,True,True,0.0,0,530121,,,0,0,481,179,0,0.0,,,0,3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,492,181,0.0,False,492,177,False,475,168,,,503,269,p530121,,,530121.jpg,0.0,492,181,0,241.0,False,0.0,510,181,False,,0,0.0,0,91,2025-01-17,438,151,331,1057,0.0,0.0
96,96,Winterburn,Ben Winterburn,Ben,Winterburn,MID,4,Bournemouth,BOU,6,1,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,45,4.5,0,0,1845,1140,0.1,a,,,2004-09-04,True,True,0.0,0,606775,,,0,0,531,211,0,0.0,,,0,3,1.0,0.0,1,0.0,0.0,4.65,0.0,1.0,217,104,30.0,False,542,209,False,525,200,,,558,304,p606775,,,606775.jpg,1.0,217,104,0,241.0,False,0.0,489,166,False,,0,0.0,0,91,2024-11-29,489,183,1845,1140,0.2,0.2
97,97,Evanilson,Francisco Evanilson de Lima Barbosa,Francisco Evanilson,de Lima Barbosa,FWD,4,Bournemouth,BOU,90,1,0,0,0,4,0,0,0,1,0,0,0,-1,0.0,0.6,17.0,1.6,0.29,0.0,0.29,2.21,70,7.0,0,0,74117,32651,2.5,a,,,1999-10-06,True,True,0.0,3,444102,,,0,0,231,23,5,5.0,,,0,4,2.3,1.3,1,0.0,0.29,2.21,0.29,1.0,273,27,4.0,False,200,21,False,690,71,,,39,14,p444102,2.0,,444102.jpg,1.0,273,27,2,30.0,False,0.0,109,20,False,,1,1.0,0,91,2024-08-16,60,17,74117,32651,0.1,0.1
98,98,Enes Ünal,Enes Ünal,Enes,Ünal,FWD,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,128,299,0.0,i,0.0,0.0,1997-05-10,True,True,0.0,0,168636,,,0,0,635,58,0,0.0,2.0,,0,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,635,61,0.0,False,638,60,False,628,53,Knee injury - Unknown return date,2025-07-21T10:00:04.802496Z,132,31,p168636,,,168636.jpg,0.0,635,61,0,219.0,False,0.0,659,75,False,,0,0.0,0,91,2024-07-01,619,60,128,299,0.0,0.0
99,99,Adu-Adjei,Daniel Adu-Adjei,Daniel,Adu-Adjei,FWD,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,3062,4166,0.3,a,,,2005-06-21,True,True,0.0,0,590760,,,0,0,522,46,0,0.0,,,0,4,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,532,49,0.0,False,533,48,False,516,41,,,548,72,p590760,,,590760.jpg,0.0,532,49,0,241.0,False,0.0,307,50,False,,0,0.0,0,91,2022-12-19,480,48,3062,4166,0.0,0.0
100,100,Kroupi.Jr,Eli Junior Kroupi,Eli Junior,Kroupi,FWD,4,Bournemouth,BOU,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,45,4.5,0,0,43227,17925,1.3,a,,,2006-06-23,True,True,0.0,0,560262,,,0,0,504,40,0,0.0,,,0,4,1.0,0.0,1,0.0,0.0,9.9,0.0,1.0,215,19,90.0,False,515,42,False,498,35,,,529,66,p560262,,,560262.jpg,1.0,215,19,0,73.0,False,0.0,164,29,False,,0,0.0,0,91,2025-02-02,462,42,43227,17925,0.2,0.2
391,391,Gannon-Doak,Ben Gannon-Doak,Ben,Gannon-Doak,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,1880,952,0.1,a,,,2005-11-11,True,True,0.0,0,496208,,,0,0,599,248,0,0.0,,,0,3,1.5,0.5,0,0.0,0.0,0.0,0.0,0.0,603,249,0.0,False,605,248,False,594,243,,,330,204,p496208,,,496208.jpg,0.0,603,249,0,243.0,False,0.0,548,209,False,,0,0.0,0,91,2025-08-18,578,234,1880,952,0.0,0.0
685,685,Diakité,Bafodé Diakité,Bafodé,Diakité,DEF,4,Bournemouth,BOU,90,0,0,0,0,4,0,0,0,0,0,0,0,2,14.8,0.2,0.0,1.5,0.0,0.0,0.0,2.21,45,4.5,0,0,6271,1818,0.2,a,,,2001-01-06,True,True,0.0,7,242882,,,0,0,257,92,9,9.0,,,0,2,1.9,0.9,0,0.0,0.0,2.21,0.0,0.0,439,183,4.0,False,203,75,False,106,47,,,433,114,p242882,,,242882.jpg,0.0,439,183,8,73.0,False,0.0,370,132,False,,1,1.0,2,91,2025-08-13,379,171,6271,1818,0.0,0.0
687,687,Rees-Dottin,Remy Rees-Dottin,Remy,Rees-Dottin,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,4383,1480,0.1,a,,,2006-03-06,True,True,0.0,0,606774,,,0,0,530,210,0,0.0,,,0,3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,540,212,0.0,False,541,208,False,524,199,,,557,303,p606774,,,606774.jpg,0.0,540,212,0,241.0,False,0.0,434,142,False,,0,0.0,0,91,2024-12-28,488,182,4383,1480,0.0,0.0
697,697,Adli,Amine Adli,Amine,Adli,MID,4,Bournemouth,BOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,361,63,0.0,a,,,2000-05-10,True,True,0.0,0,489888,,,0,0,659,286,0,0.0,,,0,3,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,658,286,0.0,False,661,286,False,651,282,,,187,117,p489888,,,489888.jpg,0.0,658,286,0,145.0,False,0.0,680,301,False,,0,0.0,0,91,2025-08-21,650,279,361,63,0.0,0.0
83,83,O.Dango,Dango Ouattara,Dango,Ouattara,MID,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,6.0,0,0,846,2630,0.1,a,100.0,50.0,2002-02-11,True,True,0.0,0,533463,,,0,0,679,298,0,0.0,,,0,3,2.1,1.1,0,0.0,0.0,0.0,0.0,0.0,676,297,0.0,False,678,297,False,670,294,,2025-08-14T16:00:05.815568Z,106,70,p533463,,,533463.jpg,0.0,676,297,0,35.0,False,0.0,532,194,False,,0,0.0,0,94,2025-08-16,676,296,846,2630,0.0,0.0
101,101,Kelleher,Caoimhín Kelleher,Caoimhín,Kelleher,GKP,5,Brentford,BRE,90,1,0,0,0,3,0,0,0,0,0,2,0,4,11.8,0.0,0.0,1.2,0.0,0.0,0.0,1.86,45,4.5,0,0,24662,72437,10.3,a,100.0,75.0,1998-11-23,True,True,0.0,4,200720,,,0,0,408,55,0,0.0,,,0,1,2.3,1.7,1,0.0,0.0,1.86,0.0,1.0,201,17,3.0,False,224,18,False,138,18,,2025-08-09T14:00:04.798673Z,403,24,p200720,,,200720.jpg,1.0,201,17,14,104.0,False,2.0,38,7,False,,1,1.0,0,94,2025-06-03,356,54,24662,72437,0.2,0.2
102,102,Balcombe,Ellery Balcombe,Ellery,Balcombe,GKP,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,1833,1635,0.3,a,,,1999-10-15,True,True,0.0,0,235448,,,0,0,303,22,0,0.0,,,0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,317,39,0.0,False,325,40,False,307,40,,,608,56,p235448,,,235448.jpg,0.0,317,39,0,241.0,False,0.0,295,44,False,,0,0.0,0,94,2016-11-02,240,21,1833,1635,0.0,0.0
103,103,Cox,Matthew Cox,Matthew,Cox,GKP,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,647,826,0.2,a,,,2003-05-02,True,True,0.0,0,503300,,,0,0,342,40,0,0.0,,,0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,356,57,0.0,False,363,58,False,345,58,,,654,74,p503300,,,503300.jpg,0.0,356,57,0,241.0,False,0.0,429,63,False,,0,0.0,0,94,2021-10-26,282,39,647,826,0.0,0.0
104,104,Eyestone,Julian Eyestone,Julian,Eyestone,GKP,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,254,484,0.1,a,,,2006-04-21,True,True,0.0,0,535017,,,0,0,351,42,0,0.0,,,0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,365,59,0.0,False,372,60,False,354,60,,,665,76,p535017,,,535017.jpg,0.0,365,59,0,229.0,False,0.0,522,74,False,,0,0.0,0,94,2024-08-08,292,41,254,484,0.0,0.0
105,105,Valdimarsson,Hákon Rafn Valdimarsson,Hákon Rafn,Valdimarsson,GKP,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,1615,4722,1.0,a,,,2001-10-13,True,True,0.0,0,507433,,,0,0,343,41,0,0.0,,,0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,357,58,0.0,False,364,59,False,346,59,,,655,75,p507433,,,507433.jpg,0.0,357,58,0,99.0,False,0.0,188,25,False,,0,0.0,0,94,2024-01-26,283,40,1615,4722,0.0,0.0
106,106,Collins,Nathan Collins,Nathan,Collins,DEF,5,Brentford,BRE,90,0,0,0,0,3,0,0,0,1,0,0,0,0,9.8,0.2,5.0,1.5,0.02,0.0,0.02,1.86,50,5.0,0,0,4442,18461,1.6,a,,,2001-04-30,True,True,0.0,5,432830,,,0,0,258,93,5,5.0,,,0,2,2.6,2.6,0,0.0,0.02,1.86,0.02,0.0,585,212,3.0,False,207,77,False,163,73,,,297,50,p432830,,,432830.jpg,0.0,585,212,5,104.0,False,0.0,148,55,False,,1,1.0,0,94,2023-07-04,121,27,4442,18461,0.0,0.0
107,107,Lewis-Potter,Keane Lewis-Potter,Keane,Lewis-Potter,DEF,5,Brentford,BRE,68,1,0,0,0,3,0,0,0,0,0,0,0,-8,5.4,4.5,7.0,1.7,0.12,0.0,0.12,1.86,50,5.0,0,0,2593,3977,0.4,a,,,2001-02-22,True,True,0.0,3,249231,,,0,0,129,38,5,6.62,4.0,,0,2,2.6,2.6,1,0.0,0.16,2.46,0.16,1.0,229,81,3.97,False,190,67,False,195,81,,,291,49,p249231,,,249231.jpg,1.0,229,81,2,241.0,False,0.0,270,99,False,,1,1.32,2,94,2022-07-12,97,19,2593,3977,0.2,0.2
108,108,Ajer,Kristoffer Ajer,Kristoffer,Ajer,DEF,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,895,2235,0.2,a,,,1998-04-17,True,True,0.0,0,191866,,,0,0,406,178,0,0.0,,,0,2,1.9,1.9,0,0.0,0.0,0.0,0.0,0.0,419,168,0.0,False,425,180,False,407,178,,,398,87,p191866,,,191866.jpg,0.0,419,168,0,161.0,False,0.0,386,143,False,,0,0.0,0,94,2021-07-21,353,153,895,2235,0.0,0.0
109,109,Henry,Rico Henry,Rico,Henry,DEF,5,Brentford,BRE,87,1,0,0,0,3,0,0,0,0,0,0,0,1,8.6,11.5,6.0,2.6,0.0,0.04,0.04,1.86,45,4.5,0,0,1144,1393,0.2,a,,,1997-07-08,True,True,0.0,2,194010,,,0,0,92,26,3,3.1,,,0,2,1.9,1.9,1,0.04,0.04,1.92,0.0,1.0,200,67,3.1,False,135,42,False,170,76,,,400,89,p194010,,,194010.jpg,1.0,200,67,2,241.0,False,0.0,415,160,False,,1,1.03,1,94,2016-08-31,108,23,1144,1393,0.2,0.2
110,110,Kayode,Michael Kayode,Michael,Kayode,DEF,5,Brentford,BRE,90,1,0,0,0,3,0,0,0,0,0,0,0,3,17.8,20.5,0.0,3.8,0.0,0.08,0.08,1.86,45,4.5,0,0,1075,1616,0.2,a,,,2004-07-10,True,True,0.0,4,607464,,,0,0,45,10,6,6.0,,,0,2,1.9,1.9,1,0.08,0.08,1.86,0.0,1.0,218,77,3.0,False,88,25,False,88,36,,,559,146,p607464,,,607464.jpg,1.0,218,77,2,106.0,False,0.0,392,148,False,,1,1.0,2,94,2025-07-01,490,192,1075,1616,0.2,0.2
111,111,Pinnock,Ethan Pinnock,Ethan,Pinnock,DEF,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,595,4189,0.2,d,75.0,,1993-05-29,True,True,0.0,0,231065,,,0,0,419,186,0,0.0,,,0,2,1.4,1.9,0,0.0,0.0,0.0,0.0,0.0,431,177,0.0,False,436,188,False,418,186,Muscle injury - 75% chance of playing,2025-08-18T08:00:05.393517Z,423,106,p231065,,,231065.jpg,0.0,431,177,0,107.0,False,0.0,366,130,False,,0,0.0,0,94,2019-07-02,370,164,595,4189,0.0,0.0
112,112,Roerslev,Mads Roerslev Rasmussen,Mads,Roerslev Rasmussen,DEF,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,205,639,0.0,a,,,1999-06-24,True,True,0.0,0,226956,,,0,0,417,185,0,0.0,,,0,2,1.9,1.9,0,0.0,0.0,0.0,0.0,0.0,429,176,0.0,False,434,187,False,416,185,,,420,105,p226956,,,226956.jpg,0.0,429,176,0,58.0,False,0.0,578,209,False,,0,0.0,0,94,2019-10-27,367,163,205,639,0.0,0.0
113,113,Van den Berg,Sepp van den Berg,Sepp,van den Berg,DEF,5,Brentford,BRE,90,3,0,0,0,3,0,0,0,0,0,0,0,6,34.4,0.6,24.0,5.9,0.21,0.0,0.21,1.86,45,4.5,0,0,4578,3207,0.4,a,,,2001-12-20,True,True,0.0,12,444765,,,0,0,226,78,14,14.0,,,0,2,1.9,1.9,3,0.0,0.21,1.86,0.21,3.0,94,42,3.0,False,39,8,False,21,5,,,447,121,p444765,,,444765.jpg,3.0,94,42,4,152.0,False,0.0,262,97,False,,1,1.0,2,94,2024-08-22,33,5,4578,3207,0.7,0.7
114,114,Arthur,Benjamin Arthur,Benjamin,Arthur,DEF,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,1535,2614,0.3,a,,,2005-10-09,True,True,0.0,0,622536,,,0,0,381,165,0,0.0,,,0,2,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,395,155,0.0,False,402,167,False,384,165,,,696,229,p622536,,,622536.jpg,0.0,395,155,0,241.0,False,0.0,306,111,False,,0,0.0,0,94,2024-03-08,322,134,1535,2614,0.0,0.0
115,115,Fredrick,Benjamin Fredrick,Benjamin,Fredrick,DEF,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,555,1456,0.2,a,,,,True,True,0.0,0,612534,,,0,0,380,164,0,0.0,,,0,2,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,394,154,0.0,False,401,166,False,383,164,,,695,228,p612534,,,612534.jpg,0.0,394,154,0,,False,0.0,405,153,False,,0,0.0,0,94,,321,133,555,1456,0.0,0.0
116,116,Hickey,Aaron Hickey,Aaron,Hickey,DEF,5,Brentford,BRE,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,40,4.0,0,0,1572,3520,0.5,a,,,2002-06-10,True,True,0.0,1,472713,,,0,0,325,125,2,90.0,,,0,2,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,339,115,0.0,False,279,97,False,247,94,,,634,183,p472713,,,472713.jpg,0.0,339,115,0,243.0,False,0.0,254,93,False,,0,0.0,1,94,2022-07-09,265,93,1572,3520,0.0,0.0
117,117,Ji-soo,Kim Ji-soo,Kim,Ji-soo,DEF,5,Brentford,BRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,398,1446,0.2,a,,,2004-12-24,True,True,0.0,0,570241,,,0,0,365,151,0,0.0,,,0,2,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,379,141,0.0,False,386,153,False,368,151,,,679,214,p570241,,,570241.jpg,0.0,379,141,0,114.0,False,0.0,408,156,False,,0,0.0,0,94,2023-07-20,306,120,398,1446,0.0,0.0
